;AT;BE;CH;CZ;DE;DK;ES;FR;GB;IE;IT;LU;NL;NO;PL;PT;SE
t1351;9255;10515;6418;8316;63779;4116;31176;66152;28935;2423;33938;618;12080;16208;17215;4977;18284
t1352;9977;11315;6759;8754;69345;4800;33539;69178;34391;2702;39529;687;14130;17841;18802;5276;19536
t1353;10238;11328;7024;8971;71208;4965;34894;71080;39839;3216;44923;724;15494;18007;19710;6038;19925
t1354;10279;11561;7052;9019;71227;4948;35121;71540;41186;3479;46630;740;15999;18178;19985;6857;20374
t1355;10306;11604;7074;8975;71973;4990;34858;71213;41683;3600;47198;748;15844;18097;19900;7167;19984
t1356;10172;11664;7056;8975;72782;4923;34489;71555;41213;3624;47380;759;15679;17836;19998;7119;19865
t1357;9891;11383;6811;9000;72187;4796;34285;70746;41338;3607;43961;733;15278;17736;20012;7233;19818
t1358;9769;11210;6871;8957;71819;4819;32949;68922;41302;3642;42650;724;15263;17761;19954;6902;19752
t1359;9631;10984;6833;8895;70396;4713;32316;66669;40830;3608;44097;709;15316;17936;19538;6903;19641
t1360;9547;11025;6853;8766;69365;4557;32081;64610;40498;3566;44752;699;15208;17957;19148;6868;19843
t1361;9467;10984;6888;8626;67925;4572;32297;63763;40568;3587;44959;682;15327;17930;19115;6814;19683
t1362;10082;11013;6726;8761;68978;4955;32594;64667;42486;3702;44830;696;15572;18063;20261;6705;20404
t1363;10267;11651;6872;9000;72693;5118;35634;72189;45100;3918;46993;742;15800;18137;21206;6634;20503
t1364;9631;11702;6553;8921;72415;4832;36649;71447;48013;4193;46277;753;15897;17902;21226;7415;19996
t1365;8884;11129;6311;8689;68509;4491;35715;67234;46255;4152;43695;705;15160;17475;20554;7644;19364
t1366;8313;10605;6277;8118;64850;4178;33326;63915;43192;3955;40197;648;14211;16988;19133;7434;18577
t1367;8098;10715;6139;7578;61557;3824;30349;66656;39235;3689;36171;631;13092;16426;17652;7178;17452
t1368;7443;10618;5903;7163;56752;3445;27527;66173;34906;3336;32621;582;12119;15671;16386;6719;16276
t1369;7023;9796;5787;6973;53026;3217;25331;62093;30653;3176;29529;545;11167;15090;15424;5981;15590
t1370;6824;9311;6142;7070;51073;3087;24168;62676;29789;2907;27825;528;10580;14751;14871;5447;15240
t1371;6631;8993;5999;6873;50366;3047;23664;60389;29233;2662;26991;514;10267;14588;14570;5080;15139
t1372;6530;8836;5904;6751;51118;3069;23564;58355;28186;2512;26657;524;10184;14484;14595;4891;15193
t1373;6930;8981;5924;6867;52577;3165;24177;58447;27144;2437;26949;531;10306;14549;14789;4843;15456
t1374;7963;9384;5920;7330;55799;3442;26696;62047;26404;2407;28632;562;10764;15053;15530;4822;16285
t1375;9177;10548;6393;8340;63678;4189;30737;69120;27847;2440;33589;621;12219;16380;17180;4914;18347
t1376;9843;11249;6744;8765;69106;4852;33469;72134;33549;2672;39226;691;14149;17746;18698;5251;19799
t1377;10165;11232;7011;8890;71067;5031;34961;73733;39591;3181;44181;726;15413;18149;19673;6031;20191
t1378;10260;11464;7085;8949;71290;5018;35113;74236;41363;3428;46126;739;16052;18223;19954;6877;20143
t1379;10301;11612;6992;8814;72013;5063;35018;74189;41768;3591;45898;734;16188;18206;19911;7187;20275
t1380;10131;11834;6906;8813;72713;5017;34893;75086;41703;3598;45660;748;16297;17999;19974;7350;20160
t1381;9805;11688;6579;8859;71841;4915;34817;74297;41668;3612;43506;743;16254;17824;19885;7437;19925
t1382;9686;11777;6541;8761;70879;4887;33626;72574;41483;3620;43566;736;16469;17775;19905;6941;19838
t1383;9618;11753;6438;8712;69856;4768;32869;70358;41225;3594;44278;727;16539;17752;19470;7014;19678
t1384;9514;11633;6554;8584;68823;4556;32618;68674;41025;3529;43908;723;16519;17744;19138;7048;19747
t1385;9495;11420;6658;8422;67935;4544;32542;67959;41271;3556;43961;720;16502;17664;18982;6948;19591
t1386;10113;11467;6511;8625;69110;4953;32568;68909;43152;3650;43614;729;16345;17864;19964;6756;20152
t1387;10282;11929;6710;9013;72477;5149;35178;75626;45588;3836;46308;762;16370;18200;20987;6642;20414
t1388;9662;11977;6545;8968;71890;4899;36122;74151;48900;4173;46160;759;16336;17913;20899;7394;19994
t1389;8881;11287;6261;8612;68031;4560;35482;69575;47121;4210;43601;706;15588;17595;20344;7640;19256
t1390;8223;10727;6114;8070;64832;4215;33153;65718;44345;3966;40360;648;14524;17163;18953;7410;18393
t1391;8112;10882;5999;7568;61635;3823;30267;68657;40475;3622;36277;631;13297;16522;17506;7151;17323
t1392;7592;10731;5802;7170;56969;3428;28219;67409;36323;3301;32781;583;12280;15717;16246;6719;16241
t1393;7127;10001;5769;6976;53564;3193;26001;62974;32521;3181;29525;550;11327;15082;15335;5931;15445
t1394;6866;9460;5727;7050;51509;3053;24463;62154;31719;2924;27805;530;10706;14634;14762;5457;15105
t1395;6722;9105;5871;6920;50770;2994;23842;60118;31119;2678;26896;515;10392;14541;14416;5106;14995
t1396;6696;8920;5788;6935;51044;3045;23586;57725;30219;2511;26502;513;10353;14704;14452;4935;15029
t1397;6955;9022;5808;6997;52622;3140;24018;58164;29404;2414;26910;521;10430;14802;14697;4854;15259
t1398;7874;9417;5805;7442;55496;3413;26475;61719;28724;2400;28699;544;10872;15215;15387;4796;16071
t1399;9036;10591;6427;8342;62689;4132;30077;67902;29838;2440;33310;615;12211;16563;16984;4935;18072
t1400;9802;11228;6856;8585;68027;4770;32401;71058;35159;2663;38965;685;14160;17989;18569;5235;19470
t1401;10027;11269;7010;8774;70230;4937;33983;73362;40977;3172;44310;718;15542;18433;19520;5993;19975
t1402;10006;11471;6930;8875;70387;4936;34529;74188;43142;3461;46167;733;16202;18438;19856;6798;20020
t1403;10011;11464;6879;8897;71543;4992;34539;74134;44194;3626;45715;749;16285;18493;19783;7065;20035
t1404;9841;11614;6930;8905;71992;4913;34060;75059;44167;3631;46011;766;16157;18261;19837;7095;19905
t1405;9417;11506;6619;8890;71006;4736;33794;74983;43996;3603;43178;753;15876;18124;19846;7184;19659
t1406;9274;11515;6633;8793;69382;4612;32227;72970;43533;3604;42678;741;15798;18029;19827;6840;19294
t1407;9124;11389;6479;8769;68020;4427;31262;70918;42779;3538;43961;733;15616;18003;19505;6869;19069
t1408;8929;11299;6453;8645;66577;4304;30969;69180;42249;3490;44140;720;15358;17803;19074;6866;18867
t1409;9040;11117;6389;8442;65684;4406;30887;68181;42044;3513;43797;714;15367;17698;18965;6734;18850
t1410;9668;11259;6297;8557;66374;4769;31366;69061;43354;3539;43648;722;15561;17730;19895;6631;19396
t1411;9951;11610;6476;8832;69841;4948;34205;75081;45521;3646;46083;749;15730;17927;20938;6517;19351
t1412;9298;11467;6341;8849;69319;4623;34887;74134;47835;3938;45777;747;15633;17751;20838;7251;18684
t1413;8571;10874;6060;8409;65332;4238;34339;70037;45707;3980;42998;699;14774;17293;20172;7427;17853
t1414;7934;10341;5953;7821;62010;3957;32227;66520;42765;3784;39652;648;13838;16743;18830;7141;17031
t1415;7831;10709;5872;7253;59768;3667;29929;69768;39289;3512;35709;630;12861;16208;17441;6840;16267
t1416;7293;10604;5685;6864;55732;3382;27949;68595;35767;3218;32307;593;11990;15724;16210;6565;15464
t1417;6984;9975;5869;6448;51957;3141;25922;63884;32708;3171;29838;558;11099;15307;15225;5910;14858
t1418;6667;9353;5770;6354;49698;3001;24354;62663;31863;2965;28187;540;10546;14926;14614;5429;14517
t1419;6459;8894;5931;6338;48432;2928;23442;60009;31225;2695;27085;518;10175;14699;14338;5014;14348
t1420;6343;8652;5893;6290;48115;2914;22991;57478;30107;2504;26543;511;10043;14638;14185;4789;14351
t1421;6413;8570;5480;6335;48575;2929;22944;56638;28899;2392;26484;511;9949;14696;14185;4678;14447
t1422;6747;8548;5565;6323;48567;3010;23469;57942;27733;2339;27125;514;9960;14853;14333;4666;14671
t1423;7101;8849;5444;6543;49248;3231;24344;60227;27944;2308;29530;520;10421;15201;14651;4658;15160
t1424;7708;9018;5317;6891;51788;3514;25630;61446;30132;2393;32910;543;11245;15536;15607;4601;15596
t1425;8283;9491;5553;7276;55614;3849;28985;64435;32538;2550;36541;575;12383;16271;16838;4784;16475
t1426;8550;10035;5805;7676;58788;4044;31388;66140;36012;2736;38673;612;13270;17050;17663;5342;17256
t1427;8744;10382;5882;7874;60381;4111;31910;65839;38293;3072;39056;635;13521;17330;17911;5827;17610
t1428;8691;10511;5822;7899;61246;4085;31509;66130;38519;3238;38571;649;13498;17253;18004;6105;17841
t1429;8243;10409;5863;7915;60128;4014;31749;66922;38118;3292;37363;646;13411;17016;17804;6256;17766
t1430;8050;10330;5832;7787;58403;3938;30927;63435;37733;3312;35466;618;13261;16821;17754;6291;17593
t1431;7897;10163;5738;7454;56479;3867;29307;61072;36859;3271;35469;604;13166;16725;17206;6196;17420
t1432;7841;10072;5708;7346;55624;3838;28494;59017;36144;3177;35389;582;13107;16593;16788;6190;17432
t1433;7911;9919;5739;7188;55345;3921;28330;58021;35908;3143;35430;590;13178;16820;16674;6106;17745
t1434;8573;10098;5862;7364;57049;4320;29047;59872;36942;3224;36573;607;13517;17257;17583;5994;18439
t1435;8706;10540;6083;7822;61329;4606;31190;66932;40361;3439;40050;646;13963;17760;18824;6144;18683
t1436;8309;10585;5977;7644;60590;4310;32089;67553;43678;3685;40674;650;14019;17508;18645;6726;18161
t1437;7702;10098;5765;7393;56715;3993;31747;64107;41652;3663;38364;612;13376;17107;17955;6980;17496
t1438;7241;9646;5618;6919;54241;3756;30204;62169;38660;3422;35367;574;12628;16652;16917;6667;16792
t1439;7233;9811;5586;6662;53251;3510;28265;66456;35876;3217;32453;575;11938;16140;15833;6361;16178
t1440;6626;9887;5458;6370;50239;3271;25915;66296;33208;2985;29849;551;11097;15679;14766;6068;15638
t1441;6262;9371;5546;6050;47220;3053;23654;62301;30526;2974;27283;519;10365;15189;13823;5609;15141
t1442;6002;8838;5823;5996;44906;2896;22185;61655;29714;2800;25223;501;9917;14975;13160;5126;14801
t1443;5945;8496;5767;6021;43624;2819;21264;59225;28746;2577;24083;488;9572;14766;12814;4744;14602
t1444;5788;8260;5639;5948;43346;2829;20832;56545;27450;2395;23455;486;9409;14646;12674;4505;14564
t1445;5806;8189;5573;5945;43659;2843;20907;55654;26288;2268;23298;482;9351;14649;12724;4410;14596
t1446;6051;8222;5606;5934;43300;2909;21208;56315;25133;2208;23700;481;9387;14727;12831;4386;14796
t1447;6153;8404;5457;6089;42656;3072;21413;57592;25154;2150;24665;476;9621;14870;12592;4332;15164
t1448;6753;8333;5342;6396;44110;3306;21783;57970;26242;2182;25603;487;9979;15117;13149;4217;15464
t1449;7231;8633;5512;6858;47936;3647;23763;60223;27472;2246;28615;510;10658;15706;14184;4265;16195
t1450;7683;9128;5612;7259;51491;3955;25709;61286;30464;2351;30862;542;11219;16336;14987;4613;17000
t1451;8037;9386;5700;7462;53882;4058;26367;61114;33535;2668;32548;567;11464;16693;15432;5146;17439
t1452;8086;9609;5885;7432;56014;4073;26640;60913;35451;2929;33322;587;11515;16828;15633;5535;17752
t1453;7715;9602;6010;7211;54958;3983;26870;61438;36494;3127;32827;576;11588;16861;15656;5908;17852
t1454;7429;9220;5978;7124;52625;3933;26670;57361;37371;3269;31198;541;11434;17232;15763;5889;17813
t1455;7177;8871;5842;7036;50546;3895;25474;54704;37293;3269;29815;517;11181;17092;15465;5616;17739
t1456;7093;8729;5794;6941;49626;3865;24893;53194;37226;3119;29580;503;11174;16976;15125;5554;17780
t1457;7243;8716;5926;6826;49565;3928;24715;53265;37703;3026;29740;503;11561;16939;15107;5428;17976
t1458;7883;8982;6008;7192;51728;4383;25707;56078;39306;3014;30351;526;12390;17062;16104;5399;18676
t1459;8324;9861;6213;7910;57342;4719;28952;63807;41489;3127;34767;588;13339;17506;17612;5515;19160
t1460;8038;10301;6311;7862;58018;4481;30661;65757;42758;3448;36584;608;13743;17518;17783;6262;18847
t1461;7491;10086;6083;7679;55675;4121;30972;63241;41325;3568;35696;591;13307;17355;17198;6640;18288
t1462;7200;9663;5958;7228;54355;3862;29876;60883;38750;3429;33604;558;12622;17159;16247;6480;17486
t1463;7243;9817;5886;7059;54652;3523;27490;64118;35812;3239;31161;566;11912;16622;15416;6240;16623
t1464;6783;9795;5684;6739;51520;3215;24733;63433;32581;2954;28313;539;10974;16049;14237;5943;15757
t1465;6467;9232;5931;6596;48825;3036;22618;59568;29340;2883;25583;502;10253;15325;13540;5389;15253
t1466;6295;8746;5894;6697;47244;2981;21126;59060;29084;2694;23947;487;9818;14979;13177;5017;15016
t1467;6249;8395;5809;6577;46654;2982;20624;56870;29103;2502;23234;477;9645;14793;13002;4643;14940
t1468;6214;8226;5750;6480;47249;3024;20517;54930;28406;2372;23003;478;9599;14835;13056;4511;15039
t1469;6618;8278;5797;6575;48715;3123;21498;55580;27684;2303;23486;483;9722;14987;13340;4437;15311
t1470;7730;8892;6223;7120;52179;3339;24521;59888;27172;2273;25633;507;10211;15520;14260;4413;16138
t1471;9040;9943;6421;8234;59099;4021;28637;65971;28676;2299;30765;575;11706;17053;16557;4514;18059
t1472;9881;10515;6803;8666;63744;4674;31879;69091;34503;2558;36111;653;13587;18453;18536;4670;19532
t1473;10120;11085;7164;8744;66795;4906;33952;71648;40186;3075;42197;697;14969;18894;19497;5256;19901
t1474;10133;11457;7194;8817;68083;4908;34833;72729;42233;3410;44596;714;15663;18691;19874;6104;19959
t1475;10302;11547;7259;8727;69232;4982;34999;72884;43201;3598;44701;730;15874;18488;19897;6482;19903
t1476;10252;11733;7209;8733;70507;4976;35113;73654;43087;3682;44524;743;15910;18137;20066;6685;19786
t1477;9968;11450;6943;8825;69972;4887;34805;73192;43123;3673;42143;721;15898;17953;20021;6891;19566
t1478;9932;11411;7124;8816;69126;4910;33363;71667;43168;3672;41858;699;15782;17857;20042;6682;19411
t1479;9840;11190;7102;8772;67288;4825;32452;69683;42914;3601;43298;689;15413;17665;19625;6624;19386
t1480;9747;11043;7025;8783;66190;4623;32081;68004;42697;3526;43539;677;15112;17503;19347;6624;19400
t1481;9739;10837;6993;8596;64954;4582;32393;67091;42580;3536;43199;663;15063;17614;19396;6470;19303
t1482;10323;11023;6791;8685;65591;4960;32896;68146;44231;3639;43025;674;15140;17904;20172;6390;20047
t1483;10358;11553;6867;8967;69264;5175;35459;75394;46304;3793;45323;713;15316;18154;21260;6352;20458
t1484;9760;11656;6700;8964;69387;4944;36513;74833;49180;4006;45316;730;15685;17928;21249;7016;19959
t1485;8965;11009;6406;8579;65728;4595;35590;69985;47722;4088;43031;674;14915;17675;20544;7278;19198
t1486;8296;10392;6332;7962;62537;4241;33016;66305;44661;3891;39810;620;13972;17342;19238;7042;18314
t1487;8116;10602;6316;7476;59821;3837;29671;69429;40594;3608;35993;611;12818;16661;17639;6660;17228
t1488;7431;10544;6107;7067;55576;3444;27198;68283;36197;3227;32366;575;11860;15795;16271;6273;16182
t1489;6998;9935;5946;6810;52452;3218;25165;63750;32092;3043;29439;535;10924;15084;15300;5677;15406
t1490;6754;9394;5935;6824;50532;3105;23871;63515;31495;2821;27733;524;10419;14810;14717;5184;15117
t1491;6643;8992;6109;6695;49592;3056;23203;61541;31027;2648;26782;510;10216;14567;14482;4822;15012
t1492;6539;8877;6155;6576;50179;3089;23223;59372;30084;2513;26615;511;10125;14623;14484;4574;15053
t1493;6843;9030;5889;6684;51713;3180;23886;59524;29173;2414;26740;515;10212;14811;14723;4522;15282
t1494;7847;9482;6035;7132;54822;3456;26562;63394;28500;2414;28326;543;10607;15252;15379;4467;16091
t1495;9142;10389;6425;8146;61333;4166;30260;69023;29755;2449;33000;607;11945;16734;17075;4519;18007
t1496;9945;10786;6713;8604;66043;4784;33029;71228;35198;2675;38317;668;13824;18155;18791;4460;19388
t1497;10285;11217;6984;8751;68736;4982;34658;72739;41105;3166;43800;703;15015;18595;19677;4741;19641
t1498;10420;11499;6952;8870;69416;4939;35447;72843;42620;3463;45969;713;15410;18391;19893;5198;19572
t1499;10565;11527;7020;8764;70367;4984;35354;71774;43027;3632;46321;718;15412;18060;19745;5586;19427
t1500;10378;11641;7168;8814;71515;4941;35073;72002;42657;3656;47040;730;15264;17724;19965;5841;19341
t1501;10033;11315;7098;8848;70628;4828;34648;71336;42405;3659;43785;715;14960;17451;20066;6041;19148
t1502;9890;11247;7278;8812;69254;4845;33533;69579;42334;3656;42379;707;14943;17808;20172;6115;19089
t1503;9735;11123;7268;8808;67910;4770;32837;67392;42128;3595;43188;701;14906;17767;19936;5855;18994
t1504;9511;11101;7266;8764;66813;4659;32498;65765;41958;3550;43767;689;14973;17688;19647;5773;18981
t1505;9504;10981;7239;8535;65867;4642;32630;65157;41890;3574;44220;687;15106;17594;19612;5618;18932
t1506;9972;11037;7070;8598;66896;4993;33013;66282;43440;3627;43928;689;15262;17801;20299;5595;19646
t1507;10260;11439;7036;8930;70472;5131;35743;73023;45201;3748;46319;722;15404;18113;21151;5779;20033
t1508;9642;11634;6744;8939;70823;4891;36958;72776;48268;3986;46392;739;15698;17915;21197;6546;19807
t1509;8889;11057;6403;8690;67031;4552;35888;68056;47219;4112;43793;688;14994;17576;20550;6874;19095
t1510;8216;10495;6299;8048;63522;4218;33158;64402;44697;3931;40584;637;14096;17250;19158;6703;18237
t1511;8064;10727;6257;7534;60593;3821;29915;67437;40591;3656;36524;617;12944;16456;17599;6481;17192
t1512;7456;10630;5999;7173;56119;3445;27272;66386;36265;3287;32976;568;11898;15642;16279;6124;16142
t1513;7093;10011;6015;6914;52819;3196;25154;62258;32255;3109;30122;540;11013;15008;15272;5557;15455
t1514;6812;9509;6038;6942;50719;3070;23962;63108;31593;2843;28303;521;10466;14639;14785;5108;15147
t1515;6614;9121;5939;6821;49892;3025;23335;61121;31229;2608;27363;511;10171;14530;14458;4784;15094
t1516;6579;8907;5879;6689;50424;3057;23167;58981;30373;2461;27045;510;10148;14606;14476;4578;15160
t1517;6878;9034;5809;6804;52143;3148;23911;59141;29462;2397;27175;517;10204;14840;14643;4532;15404
t1518;7877;9429;6126;7242;55508;3437;26422;63022;28861;2358;28982;544;10634;15359;15322;4569;16258
t1519;9073;10382;6545;8195;62759;4175;30302;68352;30272;2383;33588;606;12058;16569;17096;4692;18215
t1520;9960;10877;6858;8617;67655;4819;32944;70640;35919;2629;38978;677;13835;18014;18818;4956;19662
t1521;10192;11196;7142;8693;70296;5073;34260;71917;41274;3139;44264;718;15188;18416;19775;5541;20126
t1522;10271;11400;6995;8763;70940;5118;34689;71142;42780;3454;46487;729;15675;18636;19972;6545;20088
t1523;10411;11355;7069;8667;71849;5180;34507;69478;43224;3598;46616;722;15510;18446;19951;6934;20186
t1524;10311;11545;7104;8699;72981;5148;34425;68845;42677;3591;46283;739;15406;17806;20184;7009;20116
t1525;10059;11379;6991;8911;72420;5020;33911;67611;42515;3635;43182;715;15206;17820;20161;7104;19918
t1526;9961;11163;7167;8866;71313;5013;32467;65400;42194;3696;42941;697;15201;17850;20196;6758;19883
t1527;9866;11147;7090;8906;70056;4899;31612;62802;41470;3646;44448;689;15075;17832;19851;6647;19763
t1528;9718;11061;6974;8876;69149;4726;31165;60685;41169;3611;45006;665;15004;17733;19591;6706;19855
t1529;9748;10767;6929;8720;67737;4705;30989;59794;41319;3614;44719;680;15030;17835;19472;6630;19700
t1530;10124;10690;6701;8772;68029;5029;31162;60734;43062;3741;44013;686;15244;18114;19997;6470;20192
t1531;10465;11082;6737;9122;71617;5161;33784;68041;45018;3964;46463;721;15348;18165;20972;6342;20602
t1532;9686;11547;6638;9107;72067;4923;35196;69732;47782;4158;46964;737;15896;17901;21184;7062;20140
t1533;8980;11083;6461;8827;67942;4582;34485;65701;46330;4131;44456;690;15191;17547;20556;7408;19586
t1534;8291;10554;6458;8221;64305;4232;32302;62752;43007;3880;41070;642;14271;17247;19164;7213;18657
t1535;8027;10751;6304;7729;61445;3871;29459;65881;38898;3624;36991;627;13072;16567;17687;6953;17494
t1536;7478;10600;5999;7327;56929;3490;27030;65196;34471;3286;33254;587;12073;15605;16320;6521;16394
t1537;7039;9971;6025;6946;53212;3227;25034;61059;30551;3101;30128;554;11052;14869;15290;5840;15733
t1538;6867;9413;5963;6886;51238;3100;23846;61978;29886;2829;28285;534;10442;14529;14815;5354;15444
t1539;6773;9022;5884;6755;50660;3028;23435;59913;29481;2583;27447;519;10230;14311;14523;5021;15262
t1540;6596;8887;6107;6671;51242;3061;23312;58158;28547;2429;27102;515;10136;14343;14593;4839;15299
t1541;6951;8946;5910;6779;52673;3174;23793;58500;27765;2355;27411;516;10193;14481;14860;4721;15591
t1542;7989;9464;6124;7201;55908;3455;26290;62728;27044;2340;29090;540;10617;14891;15492;4759;16337
t1543;9189;10387;6680;8254;63063;4160;29960;68971;28423;2380;33681;606;12120;16163;17173;4864;18247
t1544;10067;10790;6890;8676;67908;4797;32444;71756;33880;2637;39258;669;13958;17794;19018;5075;19629
t1545;10388;11041;7046;8876;70100;5010;33472;72586;39649;3130;44716;704;15297;18301;19913;5778;19858
t1546;10525;11260;6963;8975;70391;5001;33753;71484;41530;3403;46625;716;15820;18036;20248;6671;19640
t1547;10596;11359;7039;8912;71292;5068;33529;69503;42321;3516;46686;718;15846;17920;20120;6885;19477
t1548;10596;11413;7087;9011;72499;5040;33096;68425;42392;3569;46446;725;15712;17738;20210;6905;19329
t1549;10378;11217;6821;9092;71441;4905;32726;67185;42476;3624;44504;705;15328;17725;20289;6964;19152
t1550;10347;11102;6852;9046;70415;4866;31400;64928;42203;3662;44096;677;15144;17624;20402;6487;18893
t1551;10240;10896;6818;9024;68901;4774;30729;62270;41636;3616;44282;654;15048;17640;20131;6494;18827
t1552;10053;10805;6741;8878;67711;4607;30334;60050;41462;3593;44527;646;14988;17625;19792;6528;18952
t1553;9913;10591;6669;8606;66215;4587;30351;59019;41427;3613;44071;650;15134;17339;19765;6413;18819
t1554;10274;10655;6569;8619;66576;4909;30489;60162;43210;3708;43225;657;15315;17447;20288;6261;19491
t1555;10424;11182;6577;9032;70491;5123;33194;67459;44969;3885;46002;707;15525;17641;21298;6126;19877
t1556;9818;11626;6627;9071;71852;4923;34737;69118;46997;4094;46675;731;16046;17574;21334;6815;19543
t1557;9019;11101;6486;8728;67901;4565;33943;65051;45408;4074;44276;687;15318;17208;20496;7269;18899
t1558;8384;10462;6553;8089;64422;4240;31554;62057;42411;3844;41023;633;14289;16729;19114;7018;17982
t1559;8205;10637;6399;7548;61409;3840;28729;65107;38586;3590;36992;615;13016;16151;17633;6796;16868
t1560;7588;10527;6245;7199;56905;3464;26671;64456;34186;3248;33299;572;12024;15496;16334;6386;15844
t1561;7192;9734;6246;6954;53402;3223;24759;60610;30283;3098;30124;543;11040;14944;15299;5740;15054
t1562;6832;9101;6217;6953;51439;3098;23602;60059;29429;2841;28402;519;10494;14623;14669;5250;14770
t1563;6723;8786;6402;6853;50701;3062;23095;58271;28729;2621;27519;510;10172;14293;14471;4961;14681
t1564;6704;8709;6479;6712;51246;3073;23041;56579;27592;2425;27192;506;10089;14321;14410;4759;14611
t1565;6991;8927;6329;6817;52470;3151;23655;57220;26503;2356;27442;514;10191;14342;14741;4707;14803
t1566;7937;9315;6366;7262;55722;3425;26102;60973;25922;2357;29130;545;10624;14869;15297;4670;15707
t1567;9045;10305;6746;8193;62847;4099;29731;67314;27166;2403;33634;606;11997;15988;16988;4786;17466
t1568;9875;10650;6896;8632;67623;4708;32103;70402;32358;2635;39302;672;13749;17450;18756;5024;18767
t1569;10106;11034;6999;8818;69980;4911;33280;71268;38398;3121;44474;709;15117;17899;19696;5777;19256
t1570;10152;11222;6787;8873;70389;4931;33766;70420;40330;3385;46388;714;15676;17950;19988;6458;19153
t1571;10222;11225;6804;8840;70951;4989;33545;68337;41278;3531;46560;714;15634;17815;19956;6608;19057
t1572;10076;11366;6926;8743;71339;4918;33080;67412;41160;3552;46432;727;15609;17636;20135;6637;18884
t1573;9626;11130;6744;8730;70122;4760;32516;65982;40645;3552;43859;703;15410;17539;20200;6730;18556
t1574;9418;10970;6707;8624;68726;4667;31328;63233;39756;3560;42879;690;15433;17447;20252;6376;18250
t1575;9177;10838;6533;8578;66822;4504;30488;60610;38561;3497;43632;675;15434;17258;19839;6423;17999
t1576;9104;10729;6382;8546;65436;4394;29871;58320;37883;3443;43354;673;15242;17416;19427;6418;17807
t1577;9165;10660;6330;8232;64515;4487;29578;57198;37563;3445;42921;664;15125;17454;19247;6277;17787
t1578;9647;10735;6260;8381;65741;4840;29707;58544;39162;3478;42222;678;15226;17177;19790;6091;18441
t1579;9996;11015;6469;8719;69413;4947;32153;64985;41509;3567;45057;715;15293;17364;20979;5922;18755
t1580;9379;11209;6519;8714;69677;4599;33542;66428;45208;3822;46106;722;15518;17272;20994;6549;18143
t1581;8602;10732;6222;8367;65330;4215;32874;62528;44139;3974;43635;681;14761;16883;20310;6976;17393
t1582;8014;10166;6284;7809;61542;3944;30806;59787;41249;3752;40337;631;13676;16351;19001;6733;16604
t1583;7886;10413;6190;7247;58905;3661;28723;62999;37810;3452;36342;621;12620;15776;17588;6446;15881
t1584;7251;10314;5988;6922;54570;3385;26486;62333;34089;3156;32867;581;11771;15278;16373;6142;15114
t1585;6837;9644;6084;6519;51293;3145;24515;58195;30912;3079;29939;545;10796;15049;15398;5589;14606
t1586;6574;8999;6011;6404;48971;2975;23196;57068;29925;2887;28038;525;10151;14682;14713;5188;14314
t1587;6403;8476;5978;6371;47740;2887;22614;54717;28740;2617;26948;516;9904;14573;14291;4847;14184
t1588;6307;8272;5973;6303;47714;2861;22291;52450;27327;2463;26414;503;9721;14550;14179;4657;14181
t1589;6416;8234;5975;6362;48229;2884;22117;51959;26050;2377;26327;500;9678;14759;14190;4530;14286
t1590;6767;8379;6102;6373;48523;2973;22667;53460;25043;2329;26975;508;9770;14670;14265;4502;14569
t1591;7174;8624;5967;6594;49281;3165;23348;55686;25055;2313;28959;512;10275;14546;14481;4492;14920
t1592;7852;8652;5618;6994;52109;3473;25001;57142;26781;2415;32496;528;10960;15079;15699;4318;15453
t1593;8282;9159;5763;7285;55947;3767;27462;59166;29509;2562;36111;560;12058;15695;16900;4583;16096
t1594;8554;9630;5802;7572;58685;3943;28766;59211;33255;2786;38797;593;12747;16283;17586;5064;16426
t1595;8555;9759;5887;7669;59943;3989;28846;57485;35340;3109;39457;601;12889;16482;17889;5382;16413
t1596;8468;9846;6077;7558;60291;3901;28182;56624;35533;3284;38549;610;12756;16108;17930;5482;16205
t1597;8052;9733;6147;7386;58875;3810;28054;56934;35029;3325;36974;603;12534;15916;17708;5538;15958
t1598;7762;9453;6144;7267;56656;3745;27201;53182;34378;3368;34929;575;12300;15928;17641;5522;15703
t1599;7528;9152;6021;7123;54742;3645;26075;50291;33156;3327;34081;557;12055;15840;17025;5344;15453
t1600;7515;9014;5901;7084;53589;3585;25243;48053;32392;3208;33600;551;11896;15842;16693;5213;15410
t1601;7542;8993;5963;6938;53011;3631;25032;46856;32081;3144;33363;550;11999;16300;16525;5069;15705
t1602;8054;9128;5685;7184;54321;4036;25359;48269;33169;3154;34110;566;12540;16916;17072;4969;16591
t1603;8456;9719;6110;7714;58911;4403;28018;55149;35931;3356;38128;603;13143;17175;18548;5045;17473
t1604;8054;10190;6214;7663;60120;4163;30095;58033;39650;3566;40065;629;13715;16962;18557;5754;17109
t1605;7684;9777;5960;7450;56516;3876;30206;55018;38539;3653;37596;600;13208;16458;17926;6229;16447
t1606;7199;9336;5750;6864;53948;3640;28769;53118;36159;3426;34659;565;12493;15915;16902;5984;15804
t1607;7200;9328;5742;6625;52992;3427;26842;57067;33531;3175;31861;566;11816;15570;15912;5721;15280
t1608;6606;9315;5758;6329;49591;3232;24866;57227;30949;2930;29385;545;11082;15229;14903;5425;14796
